Rotate,GeneticAvg,LPT,GeneticIter,GeneticMedian,FileName,Genetic,Optimum,mutIter,normIter,iterNum
8500,6957.1,6972,10,6957,instances/testing/m100n1100,6957,6952,64,2,100000
8500,6972,6972,10,6972,instances/testing/m100n1100,6972,6952,100,1,100000
8500,6956.6,6972,10,6957,instances/testing/m100n1100,6956,6952,100,2,100000
8500,6957.8,6972,10,6958,instances/testing/m100n1100,6957,6952,100,4,100000
8500,6958.7,6972,10,6958.5,instances/testing/m100n1100,6958,6952,100,8,100000
8500,6960.4,6972,10,6961,instances/testing/m100n1100,6959,6952,100,16,100000
8500,6956.2,6972,10,6956,instances/testing/m100n1100,6955,6952,128,2,100000
8500,6955.7,6972,10,6956,instances/testing/m100n1100,6955,6952,256,2,100000
8500,6955.3,6972,10,6955,instances/testing/m100n1100,6955,6952,512,2,100000
8500,6954.9,6972,10,6955,instances/testing/m100n1100,6954,6952,1024,2,100000
55305,52090,52093,1,52090,instances/testing/m10n1000,52090,52090,64,2,100000
55305,52093,52093,10,52093,instances/testing/m10n1000,52093,52090,100,1,100000
55305,52090,52093,1,52090,instances/testing/m10n1000,52090,52090,100,2,100000
55305,52090.5,52093,2,52090.5,instances/testing/m10n1000,52090,52090,100,4,100000
55305,52090.83333,52093,6,52091,instances/testing/m10n1000,52090,52090,100,8,100000
55305,52090.5,52093,2,52090.5,instances/testing/m10n1000,52090,52090,100,16,100000
55305,52090,52093,1,52090,instances/testing/m10n1000,52090,52090,128,2,100000
55305,52090,52093,1,52090,instances/testing/m10n1000,52090,52090,256,2,100000
55305,52090,52093,1,52090,instances/testing/m10n1000,52090,52090,512,2,100000
55305,52090,52093,1,52090,instances/testing/m10n1000,52090,52090,1024,2,100000
532970,524088,524089,1,524088,instances/testing/m10n10000,524088,524088,64,2,100000
532970,524089,524089,10,524089,instances/testing/m10n10000,524089,524088,100,1,100000
532970,524088,524089,1,524088,instances/testing/m10n10000,524088,524088,100,2,100000
532970,524088,524089,1,524088,instances/testing/m10n10000,524088,524088,100,4,100000
532970,524088,524089,1,524088,instances/testing/m10n10000,524088,524088,100,8,100000
532970,524088,524089,1,524088,instances/testing/m10n10000,524088,524088,100,16,100000
532970,524088,524089,1,524088,instances/testing/m10n10000,524088,524088,128,2,100000
532970,524088,524089,1,524088,instances/testing/m10n10000,524088,524088,256,2,100000
532970,524088,524089,1,524088,instances/testing/m10n10000,524088,524088,512,2,100000
532970,524088,524089,1,524088,instances/testing/m10n10000,524088,524088,1024,2,100000
106636,103164,103165,1,103164,instances/testing/m10n2000,103164,103164,64,2,100000
106636,103165,103165,10,103165,instances/testing/m10n2000,103165,103164,100,1,100000
106636,103164,103165,1,103164,instances/testing/m10n2000,103164,103164,100,2,100000
106636,103164,103165,1,103164,instances/testing/m10n2000,103164,103164,100,4,100000
106636,103164,103165,1,103164,instances/testing/m10n2000,103164,103164,100,8,100000
