Rotate,GeneticAvg,LPT,GeneticIter,GeneticMedian,FileName,Genetic,Optimum,mutIter,normIter,iterNum
9801,9778.5,9779,10,9779,instances/m50n1000.txt,9777,9763,100,1,1000000
9801,9765.4,9779,10,9765,instances/m50n1000.txt,9765,9763,100,2,1000000
9801,9766.3,9779,10,9766,instances/m50n1000.txt,9766,9763,100,4,1000000
9801,9767.5,9779,10,9767.5,instances/m50n1000.txt,9767,9763,100,8,1000000
9801,9768.3,9779,10,9768,instances/m50n1000.txt,9768,9763,100,16,1000000
9801,9766.1,9779,10,9766,instances/m50n1000.txt,9766,9763,64,2,1000000
9801,9765.1,9779,10,9765,instances/m50n1000.txt,9765,9763,128,2,1000000
9801,9764.5,9779,10,9764.5,instances/m50n1000.txt,9764,9763,256,2,1000000
9801,9764.2,9779,10,9764,instances/m50n1000.txt,9764,9763,512,2,1000000
9801,9763.9,9779,10,9764,instances/m50n1000.txt,9763,9763,1024,2,1000000
199,151,199,10,151,instances/m50.txt,151,150,100,1,1000000
199,150,199,1,150,instances/m50.txt,150,150,100,2,1000000
199,150,199,1,150,instances/m50.txt,150,150,100,4,1000000
199,150,199,1,150,instances/m50.txt,150,150,100,8,1000000
199,150.6666667,199,3,151,instances/m50.txt,150,150,100,16,1000000
199,150,199,1,150,instances/m50.txt,150,150,64,2,1000000
199,150,199,1,150,instances/m50.txt,150,150,128,2,1000000
199,150,199,1,150,instances/m50.txt,150,150,256,2,1000000
199,150,199,1,150,instances/m50.txt,150,150,512,2,1000000
199,150,199,1,150,instances/m50.txt,150,150,1024,2,1000000
3520,3462,3462,10,3462,instances/m25.txt,3462,3458,100,1,1000000
3520,3459,3462,10,3459,instances/m25.txt,3459,3458,100,2,1000000
3520,3459,3462,10,3459,instances/m25.txt,3459,3458,100,4,1000000
3520,3459,3462,10,3459,instances/m25.txt,3459,3458,100,8,1000000
3520,3459.2,3462,10,3459,instances/m25.txt,3459,3458,100,16,1000000
3520,3459,3462,10,3459,instances/m25.txt,3459,3458,64,2,1000000
3520,3458.75,3462,4,3459,instances/m25.txt,3458,3458,128,2,1000000
3520,3458.75,3462,4,3459,instances/m25.txt,3458,3458,256,2,1000000
3520,3458.8,3462,5,3459,instances/m25.txt,3458,3458,512,2,1000000
3520,3459,3462,10,3459,instances/m25.txt,3459,3458,1024,2,1000000
